index,First Vector,Second Vector,Label
6,-21.518646,66.732475,4
10,-16.462292,64.77291,4
12,-17.223635,63.07693,4
106,-16.361254,64.49814,4
107,-16.052114,64.43015,4
113,-17.678152,63.181435,4
114,-0.46531838,73.17057,4
119,-22.888567,71.69718,4
144,-2.655589,61.547714,4
147,-17.09804,63.445915,4
149,-19.095331,67.71254,4
150,-15.94583,69.412155,4
152,-16.451189,64.44017,4
161,-17.207808,63.04562,4
162,-19.840433,65.78027,4
219,-0.9631044,65.11528,4
220,-2.6204815,64.46715,4
221,-2.5236506,64.655556,4
222,-6.5405536,76.21995,4
225,-3.655593,79.84725,4
226,-13.210467,71.16332,4
227,-12.9306965,72.25504,4
228,-11.405157,70.4453,4
230,6.2396626,75.62819,4
231,-8.538857,67.37262,4
233,-9.347179,71.99406,4
273,-6.546523,69.709366,4
276,-9.03752,68.032295,4
279,-1.1401887,81.15997,4
284,-4.1997437,69.87287,4
286,-4.2039084,65.76666,4
292,-7.36728,66.55242,4
293,-2.2292666,67.572395,4
294,-2.1626222,67.71205,4
355,-6.6266427,69.79341,4
358,-2.8914273,75.74995,4
387,-15.826453,64.93843,4
388,-2.2847931,61.518337,4
390,-8.874869,65.0744,4
392,8.666092,76.42354,4
394,5.052495,75.9314,4
399,-18.154966,69.99743,4
400,-15.641416,69.6836,4
401,-18.367191,69.39233,4
412,-17.579317,70.03846,4
414,-19.442013,67.031,4
426,-16.328638,68.38977,4
427,-18.386063,61.53725,4
428,-19.119064,67.11837,4
431,-15.287285,66.60843,4
432,-17.510893,62.606194,4
433,-8.418055,65.38806,4
449,-8.814521,65.149124,4
452,-2.654451,59.894676,4
488,-19.295115,63.864376,4
525,-14.919257,66.471016,4
534,-12.579598,71.10177,4
546,-14.982816,67.595024,4
548,-18.232304,63.490147,4
549,-16.442312,64.260284,4
551,-15.989807,69.67968,4
553,-16.3357,63.52074,4
557,-19.639185,68.23826,4
559,-17.84831,63.76493,4
562,-13.787156,70.57257,4
565,-19.271667,63.938282,4
566,-18.118952,63.234573,4
567,-18.488747,68.46889,4
569,7.2270985,67.03953,4
578,2.741306,58.537117,4
579,-3.3197048,80.05265,4
580,-4.752097,76.86286,4
583,-2.6444604,76.9281,4
584,-2.291475,77.4974,4
585,-3.2879043,77.66076,4
589,1.4158567,59.863873,4
590,0.051126983,76.088875,4
591,1.5174308,76.299965,4
594,2.8918283,75.11889,4
595,3.2889278,58.602337,4
596,-3.7140675,76.86106,4
597,5.926827,76.546524,4
598,2.7766924,75.40139,4
604,-1.5381699,62.09216,4
606,-3.7316787,68.29605,4
607,-3.5261555,69.41477,4
613,-18.26471,69.160904,4
615,-15.426125,66.718216,4
619,-7.6351542,65.818504,4
623,-5.27725,69.1002,4
626,2.0832634,60.637383,4
627,0.80915016,61.747894,4
634,5.858072,74.547714,4
638,0.38330045,70.88308,4
641,-17.157946,70.46106,4
642,-1.2081748,71.02561,4
643,-9.289923,69.138794,4
646,-0.45137995,73.73189,4
651,-7.5119767,66.18406,4
652,-4.081253,68.20022,4
653,-3.915667,69.41284,4
657,-6.0270805,64.22694,4
660,8.233791,75.15978,4
664,7.4973073,75.049805,4
665,3.232909,70.75121,4
666,5.248986,73.032005,4
667,7.869926,75.618935,4
668,7.615537,74.53185,4
669,8.355207,75.201004,4
670,7.900807,75.273506,4
672,5.345984,72.75055,4
675,7.5715847,66.92348,4
677,5.5977488,73.923706,4
678,7.0929008,73.7816,4
679,2.8459811,60.56769,4
680,6.2783494,66.97258,4
681,3.8543482,74.12451,4
682,-1.9480714,62.800854,4
683,1.2292222,59.46262,4
685,-4.7199936,64.70462,4
691,2.6723416,61.065933,4
698,-3.9766293,69.12862,4
708,-4.6045027,61.684902,4
714,-3.0880966,69.276474,4
717,-3.1312041,64.47632,4
719,-0.99807477,70.339806,4
720,-2.1465716,63.65156,4
721,-2.1065602,63.814743,4
722,-2.0117652,65.67142,4
724,-0.2647547,64.79396,4
725,-1.2441821,64.41121,4
726,5.3903913,75.385,4
727,2.6809855,68.18137,4
728,2.2026482,67.75101,4
729,-7.5400133,66.41663,4
730,-7.559518,66.99445,4
731,-7.5290413,67.39112,4
732,-4.4799643,68.71371,4
733,2.667583,60.11445,4
734,2.688487,60.469788,4
735,2.5388737,71.15807,4
736,7.1643195,74.74314,4
737,-1.6646405,67.63046,4
738,3.9212093,59.994854,4
739,3.8211591,59.96808,4
740,-2.1908731,69.53645,4
746,-2.5094485,64.2326,4
749,-1.5880587,76.62561,4
753,2.1848881,67.150024,4
762,1.617605,66.8535,4
766,-0.64447266,64.49178,4
772,6.7822237,74.32014,4
773,6.4474797,72.11057,4
775,6.6093187,64.432076,4
776,6.9049973,68.78828,4
777,6.3666368,69.368546,4
781,3.440154,61.08925,4
784,3.0118816,73.06564,4
787,7.876045,74.14599,4
788,8.233683,72.919846,4
789,4.7212334,64.75041,4
790,7.992359,73.827675,4
792,6.4305925,72.28428,4
802,7.1923623,71.98835,4
804,8.266978,72.61706,4
807,3.6937487,71.045975,4
808,2.3946605,59.806408,4
811,0.62275654,70.28138,4
812,7.7026,75.27339,4
813,7.9213862,72.11313,4
814,7.6796017,73.34284,4
815,7.116288,74.69038,4
817,0.9703506,66.17282,4
819,1.6587794,66.81552,4
824,7.5158424,71.494225,4
826,3.6236756,73.69003,4
827,6.1145315,73.88931,4
829,6.201625,65.28735,4
831,1.0107136,66.447876,4
835,3.2905083,73.18119,4
873,2.377004,73.915344,4
877,5.9849153,64.11279,4
878,6.2605433,73.26345,4
879,6.3342977,64.53843,4
881,48.558483,47.510746,5
884,-49.778522,-33.214703,2
893,-47.927452,-24.858734,2
896,-58.48599,-35.370777,2
897,-50.884926,-24.844463,2
899,-54.064674,-26.262209,2
900,-48.799965,-32.162395,2
901,-55.740383,-27.642712,2
902,-50.368633,-24.993734,2
903,-45.52535,-24.73215,2
904,-55.71861,-27.640133,2
906,-52.00018,-24.168217,2
907,-52.180466,-29.083672,2
909,-4.5448613,76.92553,4
911,-3.4975748,76.98917,4
912,-55.332855,-28.904856,2
915,-46.36808,-24.555967,2
916,-51.39942,-23.666332,2
926,-56.15737,-28.870245,2
929,5.5899014,62.004078,4
